Iteration,Training_Loss
1038,23204198.0
1039,1268873.4
1040,8776811.0
1041,38301400.0
1042,33248524.0
1043,17013646.0
1044,31332666.0
1045,5958267.5
1046,45506320.0
1047,7582073.5
1048,24585758.0
1049,12097170.0
1050,20348192.0
1051,16726739.0
1052,36915960.0
1053,6128494.5
1054,23138258.0
1055,1260238.6
1056,8820649.0
1057,38483004.0
1058,33483250.0
1059,17155408.0
1060,31425528.0
1061,6011094.0
1062,45592852.0
1063,7562042.0
1064,24792488.0
1065,12173926.0
1066,20312656.0
1067,16781720.0
1068,37048256.0
1069,5957842.5
1070,23184258.0
1071,1263903.8
1072,8648168.0
1073,37989340.0
1074,32561148.0
1075,16435581.0
1076,30753410.0
1077,5791316.0
1078,44547316.0
1079,7485485.5
1080,23847040.0
1081,11803017.0
1082,20122160.0
1083,16435516.0
1084,36538588.0
1085,5864220.5
1086,22469338.0
1087,1202704.5
1088,8628208.0
1089,37934052.0
1090,32829182.0
1091,16734563.0
1092,30489710.0
1093,5638628.5
1094,44363020.0
1095,7436520.5
1096,24121992.0
1097,12010969.0
1098,20183750.0
1099,16435554.0
1100,36676900.0
1101,5814946.0
1102,22784028.0
1103,1238279.8
1104,8622008.0
1105,37973188.0
1106,32595114.0
1107,16428007.0
1108,30553358.0
1109,5768631.0
1110,44267590.0
1111,7404420.5
1112,23911374.0
1113,11837471.0
1114,20133556.0
1115,16363409.0
1116,36599492.0
1117,5797336.0
1118,22528412.0
1119,1198900.9
1120,8576861.0
1121,37905788.0
1122,32520702.0
1123,16407538.0
1124,30312684.0
1125,5646985.5
1126,43975070.0
1127,7365102.0
1128,23804320.0
1129,11839163.0
1130,20103858.0
1131,16265790.0
1132,36512370.0
1133,5717504.5
1134,22447730.0
1135,1200061.9
1136,8539856.0
1137,37805076.0
1138,32348666.0
1139,16241986.0
1140,30108830.0
1141,5619016.5
1142,43634020.0
1143,7325988.5
1144,23619600.0
1145,11761700.0
1146,20053268.0
1147,16172490.0
1148,36423616.0
1149,5664855.0
1150,22296428.0
1151,1187150.5
1152,8501738.0
1153,37723804.0
1154,32217876.0
1155,16154036.0
1156,29899158.0
1157,5536543.5
1158,43355660.0
1159,7295071.0
1160,23472360.0
1161,11725922.0
1162,20015602.0
1163,16078844.0
1164,36330424.0
1165,5601321.5
1166,22173832.0
1167,1181781.4
1168,8466541.0
1169,37632788.0
1170,32084468.0
1171,16033253.0
1172,29699100.0
1173,5496865.5
1174,43047440.0
1175,7261428.0
1176,23324438.0
1177,11674295.0
1178,19974312.0
1179,15995625.0
1180,36256560.0
1181,5549768.0
1182,22055282.0
1183,1173687.6
1184,8431257.0
1185,37556380.0
1186,31956542.0
1187,15923102.0
1188,29526066.0
1189,5457391.0
1190,42792520.0
1191,7232887.0
1192,23191686.0
1193,11628795.0
1194,19939958.0
1195,15918485.0
1196,36187132.0
1197,5502458.5
1198,21943206.0
