"Year","Month","estimate","set","rho","saved_old","difference"
2019,4,46.7104632536931,"old",0,46.7104632536931,-2.8421709430404e-14
2019,5,53.6810072768872,"old",0,53.6810072768872,7.105427357601e-15
2019,6,64.3453719534517,"old",0,64.3453719534517,1.4210854715202e-14
2019,7,62.232402732832,"old",0,62.2324027328319,5.6843418860808e-14
2019,8,58.1899328060781,"old",0,58.1899328060781,-7.105427357601e-15
2019,9,52.0832504781083,"old",0,52.0832504781083,4.9737991503207e-14
2020,1,64.8575094903009,"old",0,64.8575094903009,0
2020,10,58.144948248659,"old",0,58.144948248659,-2.1316282072803e-14
2020,11,55.2957635785278,"old",0,55.2957635785278,2.8421709430404e-14
2020,12,60.4182438266475,"old",0,60.4182438266475,-7.105427357601e-15
2020,2,57.1789485216787,"old",0,57.1789485216787,-1.4210854715202e-14
2020,3,48.8417392938259,"old",0,48.8417392938259,-4.2632564145606e-14
2020,4,41.4356584765189,"old",0,41.4356584765189,-1.4210854715202e-14
2020,5,55.8991122379014,"old",0,55.8991122379014,-1.4210854715202e-14
2020,6,62.281890575743,"old",0,62.281890575743,-2.1316282072803e-14
2020,7,64.4119585243446,"old",0,64.4119585243446,1.4210854715202e-14
2020,8,55.0352772661056,"old",0,55.0352772661056,3.5527136788005e-14
2020,9,48.1622180077298,"old",0,48.1622180077298,2.8421709430404e-14
2021,1,57.1981276158798,"old",0,57.1981276158798,-4.2632564145606e-14
2021,10,53.703170278717,"old",0,53.703170278717,-1.4210854715202e-14
2021,11,57.5208445648773,"old",0,57.5208445648773,-4.2632564145606e-14
2021,12,57.3160918399525,"old",0,57.3160918399525,7.105427357601e-15
2021,2,57.0099001603085,"old",0,57.0099001603085,4.9737991503207e-14
2021,3,60.0515078197742,"old",0,60.0515078197742,0
2021,4,57.1901593642567,"old",0,57.1901593642567,4.2632564145606e-14
2021,5,61.9078286688688,"old",0,61.9078286688688,4.2632564145606e-14
2021,6,64.4759300431366,"old",0,64.4759300431366,-2.8421709430404e-14
2021,7,66.4385154023582,"old",0,66.4385154023582,-1.4210854715202e-14
2021,8,63.9056310116516,"old",0,63.9056310116516,7.105427357601e-15
2021,9,52.9951935425598,"old",0,52.9951935425598,-7.105427357601e-15
