draw,delta,Year,Month,NN,Sax,Mosley,date
13,0.015012914313941325,2018,3,48.37276947008561,50.0020448720278,51.3499000887713,2018-03-01
13,0.015012914313941325,2018,4,49.10091536375091,48.301590594633,51.3011191115688,2018-04-01
13,0.015012914313941325,2018,5,43.69280358261696,55.2542531197527,48.599540229475,2018-05-01
13,0.015012914313941325,2018,6,47.454421115808294,58.7092885457592,48.2224223084975,2018-06-01
13,0.015012914313941325,2018,7,46.83106135355705,59.7034984216858,49.5918806540573,2018-07-01
13,0.015012914313941325,2018,8,42.3129855251948,50.9941444695278,48.7065430850094,2018-08-01
13,0.015012914313941325,2018,9,46.43677434539428,38.8205455481799,45.0138975884834,2018-09-01
13,0.015012914313941325,2018,10,51.6789392142704,41.7322318492964,49.1501006965849,2018-10-01
13,0.015012914313941325,2018,11,59.27285512352574,45.0810192438188,47.8023891932594,2018-11-01
13,0.015012914313941325,2018,12,62.88568198127946,50.1191760622214,47.0514054022826,2018-12-01
13,0.015012914313941325,2019,1,39.38404806857787,49.1027900586767,54.80031396567,2019-01-01
13,0.015012914313941325,2019,2,51.91897421763638,48.4212107182351,54.8018654374564,2019-02-01
13,0.015012914313941325,2019,3,44.39713952324988,46.6341346430487,52.8627757344798,2019-03-01
13,0.015012914313941325,2019,4,52.08990577888366,46.7104632536931,54.4785751133591,2019-04-01
13,0.015012914313941325,2019,5,50.63211931440913,53.6810072768872,53.8152679590093,2019-05-01
13,0.015012914313941325,2019,6,38.38535245696443,64.3453719534517,57.1244135901273,2019-06-01
13,0.015012914313941325,2019,7,56.575599037575465,62.2324027328319,52.3677447435473,2019-07-01
13,0.015012914313941325,2019,8,56.90384227345338,58.1899328060781,51.7154098748861,2019-08-01
13,0.015012914313941325,2019,9,63.0764724933471,52.0832504781083,50.7945917148856,2019-09-01
13,0.015012914313941325,2019,10,61.26491898348253,52.0346633211114,51.40141739702,2019-10-01
13,0.015012914313941325,2019,11,58.56093060578879,49.149651590035,49.3466538919055,2019-11-01
13,0.015012914313941325,2019,12,58.65615022572538,49.2605741469367,48.3364235567478,2019-12-01
13,0.015012914313941325,2020,1,40.15154451936715,64.8575094903009,56.3847411440971,2020-01-01
13,0.015012914313941325,2020,2,55.3469982593785,57.1789485216787,56.7782221948502,2020-02-01
13,0.015012914313941325,2020,3,65.3894087634822,48.8417392938259,58.9501577729054,2020-03-01
13,0.015012914313941325,2020,4,74.83551629631384,41.4356584765189,53.7960459898724,2020-04-01
13,0.015012914313941325,2020,5,56.171568519015345,55.8991122379014,55.0128236229421,2020-05-01
13,0.015012914313941325,2020,6,45.07650144333255,62.281890575743,58.5546511138948,2020-06-01
13,0.015012914313941325,2020,7,59.335570085096954,64.4119585243446,60.8714668704801,2020-07-01
13,0.015012914313941325,2020,8,59.650978906186886,55.0352772661056,57.0970500308191,2020-08-01
13,0.015012914313941325,2020,9,65.29066235031524,48.1622180077298,56.7261777202564,2020-09-01
13,0.015012914313941325,2020,10,52.726338871696576,58.144948248659,53.4167229920692,2020-10-01
13,0.015012914313941325,2020,11,45.59057266199864,55.2957635785278,49.372735857701,2020-11-01
13,0.015012914313941325,2020,12,52.397607371799026,60.4182438266475,55.0024727380952,2020-12-01
13,0.015012914313941325,2021,1,51.75116242642401,57.1981276158798,65.494543345899,2021-01-01
13,0.015012914313941325,2021,2,62.79255670889201,57.0099001603085,68.0164089378144,2021-02-01
13,0.015012914313941325,2021,3,58.95045742301747,60.0515078197742,62.7570050625515,2021-03-01
13,0.015012914313941325,2021,4,66.27467867945107,57.1901593642567,58.0122687177382,2021-04-01
13,0.015012914313941325,2021,5,55.93746235262186,61.9078286688688,58.8769278343267,2021-05-01
13,0.015012914313941325,2021,6,52.10225153844529,64.4759300431366,58.723047507006,2021-06-01
13,0.015012914313941325,2021,7,52.140220499520545,66.4385154023582,55.5378475709677,2021-07-01
13,0.015012914313941325,2021,8,59.642208307878974,63.9056310116516,58.1546681900062,2021-08-01
13,0.015012914313941325,2021,9,79.95649586104176,52.9951935425598,58.064936723569,2021-09-01
13,0.015012914313941325,2021,10,72.78375646969397,53.703170278717,57.2116986094352,2021-10-01
13,0.015012914313941325,2021,11,52.891330708058035,57.5208445648773,57.8179049496696,2021-11-01
13,0.015012914313941325,2021,12,44.49031933729611,57.3160918399525,51.0456428633576,2021-12-01
14,0.0071093662710827845,2004,1,33.36453059599427,28.688237282898,32.9606514484556,2004-01-01
14,0.0071093662710827845,2004,2,21.312680157788158,28.0386032639846,28.4558868950222,2004-02-01
14,0.0071093662710827845,2004,3,18.622245530682626,30.0931395578973,30.2525550930859,2004-03-01
14,0.0071093662710827845,2004,4,27.632187194791467,30.6333424335577,33.7808424765506,2004-04-01
14,0.0071093662710827845,2004,5,24.862490271552318,33.0627543992953,31.6507212929523,2004-05-01
14,0.0071093662710827845,2004,6,37.454479679056774,33.2544075087679,31.6587891196557,2004-06-01
