Year,Month,NN,Sax,Mosley,Ridge_positive,Ridge_signed,date,Quarter,quarter_date
2015,6,42.68526557266984,46.5310407805877,43.4375246680306,41.19701558956308,42.54705005038779,2015-06-01,2,2015-04-01
2015,7,40.72944846858884,49.1340168659524,42.0698780049277,39.29867312097927,39.93076470714506,2015-07-01,3,2015-07-01
2015,8,43.91971610505674,46.788206762691,45.2061093006287,41.81197997635323,43.420056599366696,2015-08-01,3,2015-07-01
2015,9,40.12105074336655,36.1709420535705,41.2773982459624,41.56591374182128,42.35732453370562,2015-09-01,3,2015-07-01
2015,10,42.20408514238048,37.0888753321751,42.3842275681599,43.79046857157083,45.55830205569788,2015-10-01,4,2015-10-01
2015,11,32.91150927222386,37.3910899332173,39.6766045736136,38.21867419024905,38.44846417488045,2015-11-01,4,2015-10-01
2015,12,43.66856904576612,39.3148406835066,38.3233496365718,39.99420497339703,42.07417056470867,2015-12-01,4,2015-10-01
2016,1,47.6333263039494,43.1070227934286,45.647177617306,47.40112691435443,44.48488408558278,2016-01-01,1,2016-01-01
2016,2,49.38088742185453,40.7569701187678,46.1285673135061,49.77336568600001,45.22023550644342,2016-02-01,1,2016-01-01
2016,3,46.85546966307884,43.8900106497481,46.2872775254006,47.65644415450184,44.82297004229397,2016-03-01,1,2016-01-01
2016,4,45.3198883948357,42.2166914608195,46.5805730083508,47.96644254232621,44.4118479839204,2016-04-01,2,2016-04-01
2016,5,43.17530309435645,44.5682496789465,46.2536316765223,43.45158603223796,43.40248588829733,2016-05-01,2,2016-04-01
2016,6,42.88654579439549,50.4854512449744,46.625375489312,40.61365984892856,39.57814320341426,2016-06-01,2,2016-04-01
2016,7,41.27967527013252,54.0219604993,45.6341686153499,39.43231111400223,39.81849734389168,2016-07-01,3,2016-07-01
2016,8,42.746686423858165,47.0831215225129,44.1001014359143,41.60793675443165,41.357732809496405,2016-08-01,3,2016-07-01
2016,9,43.51842538901597,37.7821101296772,43.8158226054356,43.8600510199501,44.64102028619742,2016-09-01,3,2016-07-01
2016,10,42.725714124914354,39.9716502349646,43.4356693793418,43.10510169518443,43.97422355051654,2016-10-01,4,2016-10-01
2016,11,42.43946965643124,40.9267349449318,38.2789087698635,43.84471252070598,50.42841293136632,2016-11-01,4,2016-10-01
2016,12,40.21030936623445,43.3617276249856,35.3844274667541,39.45896262043366,46.03124727163652,2016-12-01,4,2016-10-01
2017,1,40.70602508723447,47.2013571295342,41.8731281449768,44.12832762206165,40.83138376417676,2017-01-01,1,2017-01-01
2017,2,42.642916107015736,40.8153403533238,42.8029557323669,46.67382392977736,41.80649108817479,2017-02-01,1,2017-01-01
2017,3,44.83630281238389,43.9273773193896,44.8845499619526,48.34427582758127,45.5459345132896,2017-03-01,1,2017-01-01
2017,4,54.69474875318824,52.2413131786613,54.7276013029209,52.50620739054695,54.8009455692657,2017-04-01,2,2017-04-01
2017,5,51.57275672657773,44.9968825849721,46.6569288934822,47.06716761925679,51.17334377948556,2017-05-01,2,2017-04-01
2017,6,43.595376166206535,51.1416973972573,45.7481121069065,42.96719496925284,44.75266710766984,2017-06-01,2,2017-04-01
2017,7,43.91792233772467,54.3687012648094,44.422450512367,41.42199287047731,44.01345303720903,2017-07-01,3,2017-07-01
2017,8,38.26830788292766,47.9333732806726,45.5407340032456,41.3987361950508,41.03273417077954,2017-08-01,3,2017-07-01
2017,9,45.633088183419865,44.7173920794819,45.3115237366154,45.87353661087203,48.17547628583986,2017-09-01,3,2017-07-01
2017,10,58.63374895501872,38.6022442401824,50.0025453561715,56.13381496112637,61.573732289317576,2017-10-01,4,2017-10-01
2017,11,43.45374517798429,40.7389327951698,46.6683804450848,43.04036761125639,39.73985167462475,2017-11-01,4,2017-10-01
2017,12,41.67603133695822,42.9463579031858,40.9920593305498,40.07552391938022,36.18495624680695,2017-12-01,4,2017-10-01
2018,1,50.27390825179389,43.1685360084075,48.7125272080325,50.41662724393445,44.81300524388929,2018-01-01,1,2018-01-01
2018,2,55.82342039626913,44.5410170166975,50.925620185986,55.68709862695148,52.28726385870212,2018-02-01,1,2018-01-01
