Year,Month,NN,Sax,Mosley,date,Uniform,Employment
2019,9,59.28619488688319,52.0832504781083,50.7945917148856,2019-09-01,52.653787748257834,442700
2019,10,57.459161520948115,52.0346633211114,51.40141739702,2019-10-01,52.653787748257834,446300
2019,11,54.148681237324226,49.149651590035,49.3466538919055,2019-11-01,52.653787748257834,450100
2019,12,55.550301232061194,49.2605741469367,48.3364235567478,2019-12-01,52.653787748257834,452900
2020,1,52.69384320772027,64.8575094903009,56.3847411440971,2020-01-01,55.996939003998584,450100
2020,2,62.75829470383795,57.1789485216787,56.7782221948502,2020-02-01,55.996939003998584,454200
2020,3,64.92546956840674,48.8417392938259,58.9501577729054,2020-03-01,55.996939003998584,455600
2020,4,69.35834038789508,41.4356584765189,53.7960459898724,2020-04-01,55.996939003998584,449500
2020,5,52.823193160318624,55.8991122379014,55.0128236229421,2020-05-01,55.996939003998584,451500
2020,6,46.205135424518794,62.281890575743,58.5546511138948,2020-06-01,55.996939003998584,457700
2020,7,57.85709028469589,64.4119585243446,60.8714668704801,2020-07-01,55.996939003998584,462400
2020,8,55.58390181284481,55.0352772661056,57.0970500308191,2020-08-01,55.996939003998584,463000
2020,9,58.72934286240507,48.1622180077298,56.7261777202564,2020-09-01,55.996939003998584,459600
2020,10,51.210204388975654,58.144948248659,53.4167229920692,2020-10-01,55.996939003998584,463300
2020,11,46.21028501537475,55.2957635785278,49.372735857701,2020-11-01,55.996939003998584,465700
2020,12,53.60816723098935,60.4182438266475,55.0024727380952,2020-12-01,55.996939003998584,468900
2021,1,52.3953703702453,57.1981276158798,65.494543345899,2021-01-01,59.14274169269509,470000
2021,2,62.83675320944364,57.0099001603085,68.0164089378144,2021-02-01,59.14274169269509,472700
2021,3,61.28937600402169,60.0515078197742,62.7570050625515,2021-03-01,59.14274169269509,476100
2021,4,65.70856826643764,57.1901593642567,58.0122687177382,2021-04-01,59.14274169269509,477300
2021,5,58.49903721737672,61.9078286688688,58.8769278343267,2021-05-01,59.14274169269509,480100
2021,6,57.13263076057925,64.4759300431366,58.723047507006,2021-06-01,59.14274169269509,487400
2021,7,62.32243125331606,66.4385154023582,55.5378475709677,2021-07-01,59.14274169269509,495200
2021,8,61.579139420375746,63.9056310116516,58.1546681900062,2021-08-01,59.14274169269509,496300
2021,9,72.18108034032959,52.9951935425598,58.064936723569,2021-09-01,59.14274169269509,492100
2021,10,62.19287242742632,53.703170278717,57.2116986094352,2021-10-01,59.14274169269509,497900
2021,11,50.17445848045251,57.5208445648773,57.8179049496696,2021-11-01,59.14274169269509,502000
2021,12,43.40118256233663,57.3160918399525,51.0456428633576,2021-12-01,59.14274169269509,506900
